IDPeticion;Codi;Nom;SSTT;DataPlanificada;Data tancament ;Excedent previst ;EXCENDENT que té el centre  ;Incidental pendent previst ;Equips en incidencia CENTRE ;Equips a recollir a la visita (excedents mès averiats) previst;equips retirats ;disposen del total del equips a retirar ?;e-Valisa necessària?;e-Valisa sol·licitada;e-Valisa rebuda;MOTIU discrepancia ;observacions;Columna1;;;;;;
2198644;17003306;INSTITUT SANT ELM;GIR;3/11/2025;3/11/2025;19;0;59;35;59;35;NO;SI;;;retirat per servei ;;;;;;;;
2198661;43011479;INSTITUT TARRAGONA;TAR;3/11/2025;3/11/2025;71;5;49;59;71;59;NO;SI;SI;SI;;;;;;;;;
2198662;25007189;INSTITUT MARIA RÚBIES;LLE;3/11/2025;3/11/2025;1;1;39;39;39;39;SI;NO;;;;;;;;;;;
2198663;25002726;INSTITUT GUINDÀVOLS;LLE;3/11/2025;3/11/2025;23;23;35;41;35;41;SI;NO;;;El centre entrega mes equipament del previst , indicant que el te com a excedent;te mes incidental ;;;;;;;
2198654;08020474;INSTITUT LLUÍS DE PEGUERA;CCE;3/11/2025;3/11/2025;41;41;135;135;135;135;SI;NO;;;;;;;;;;;
2198665;25002787;INSTITUT JOAN ORÓ;LLE;4/11/2025;4/11/2025;15;71;31;31;31;102;SI;NO;;;El centre entrega mes equipament del previst , indicant que el te com a excedent;;;;;;;;
2198666;25002684;INSTITUT SAMUEL GILI I GAYA;LLE;4/11/2025;4/11/2025;4;4;27;36;27;40;SI;NO;;;te mes incidental ;;;;;;;;
2198801;43006681;INSTITUT DE LA SÉNIA;TEB;4/11/2025;4/11/2025;26;1;25;25;26;26;SI;NO;;;te mes incidental ;;;;;;;;
2198668;17005649;INSTITUT CENDRASSOS;GIR;5/11/2025;5/11/2025;95;92;75;75;95;92;NO;NO;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198669;8034011;INSTITUT FREDERIC MOMPOU;BLL;5/11/2025;5/11/2025;87;35;3;3;87;35;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;Assessor BLL: Discrepància del número de portàtils dotats i la matrícula actual. No els hi quadra aquests 87 portàtils. Podem comprovar aquestes dades?;;;;;;;
2198670;08014115;INSTITUT FERRAN TALLADA;CEB;5/11/2025;5/11/2025;107;107;0;0;107;107;SI;NO;;;;;;;;;;;
2198671;08071196;INSTITUT CAN ROCA;VOC;5/11/2025;5/11/2025;84;84;23;23;84;84;SI;NO;;;;;;;;;;;
2198672;43010852;INSTITUT ROSETA MAURI;TAR;5/11/2025;5/11/2025;38;32;14;14;38;32;NO;SI;;;EQUIPAMENT PERDUT ;centre ha de fer denúncia;;;;;;;
2198673;43004438;INSTITUT DERTOSA;TEB;5/11/2025;5/11/2025;79;36;27;27;79;36;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;S'ha quedat que a final de curs hauran de canviar 30 equips dels vells pels 30 dels nous que van arribar per poder enretirar els que fan falta;;;;;;;
2198675;8047376;INSTITUT LLOBREGAT;CCE;5/11/2025;5/11/2025;57;0;29;28;57;28;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198676;25006781;INSTITUT ALFONS COSTAFREDA;LLE;5/11/2025;5/11/2025;5;4;26;25;26;25;NO;NO;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198677;25005727;INSTITUT ALMATÀ;LLE;5/11/2025;5/11/2025;16;10;26;32;26;32;NO;SI;;;te mes incidental ;;;;;;;;
2198667;08043656;INSTITUT MARINA;MVO;5/11/2025;6/11/2025;101;86;30;50;101;86;NO;SI;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198674;08077472;Institut Intermunicipal del Penedès;PEN;6/11/2025;6/11/2025;69;64;2;2;69;64;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;Repartits a alumnat d'altres nivells.;;;;;;;
2198682;43008432;INSTITUT SANT PERE I SANT PAU;TAR;6/11/2025;6/11/2025;36;30;15;15;36;30;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
